## adnan2021comparison
| N° | Texto literal                                                                                                                                                                                                                                                                                                                                                                                                                          | Pág./Sección                                                                                 | Eje          | Tipo                       | Razón                                                                                                                                                              |
| **11** | **"Clearly, uncertainty analysis needs to be incorporated within the regionalization procedure to provide better predictions of streamflow in ungauged basins."**                                                                                                                                                              | **p. 26, Uncertainty estimation** (Ctrl+F: *"Clearly, uncertainty analysis needs"*)                                                                  | **(3), (5)**      | **[AFIRMACIÓN GENERAL]**   | Muy fuerte para defender la incorporación explícita de incertidumbre como parte del modelo, no solo como evaluación posterior.  |
| **12** | **"There is no clear indication from the literature on which regionalization approach should be preferred for a given case. Comparative study using methods from each category (model-independent and model-dependent) appears the best approach to identify appropriate regionalization method for a given site or region."** | **pp. 29–30, Discussion and Conclusion** (Ctrl+F: *"There is no clear indication"*)                                                                  | **(1)**           | **[LIMITACIÓN/CONTRASTE]** | Esta cita respalda directamente la comparación entre modelos físicos, ML e híbridos que realizas mediante estudios de ablación. |

##pushpalatha2012review
| N°     | Texto literal                                                                                                                                                                                                                                                                                                                                                                         | Pág./Sección (Ctrl+F)                                           | Eje      | Tipo                       | Razón                                                                                                               |
| ------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------- | -------- | -------------------------- | ------------------------------------------------------------------------------------------------------------------- |
| **1**  | **"Contrary to what was expected, our analysis revealed that, in most of the existing criteria advised for low flows, high flows still make a significant contribution to the criterion's value. We therefore recommend using the Nash–Sutcliffe efficiency criterion calculated on inverse flow values [...] it allows focusing on the lowest 20% of flows over the study period."** | **p.1, Abstract** — *"Contrary to what was expected"*           | **6**    | **[HALLAZGO/NÚMERO]**      | Es la principal conclusión del artículo y justifica emplear métricas más apropiadas para bajos caudales.            |
| **2**  | **"Actually, there is no single criterion that can evaluate model performance in all cases."**                                                                                                                                                                                                                                                                                        | **p.2, Introduction** — *"Actually, there is no single"*        | **5**    | **[AFIRMACIÓN GENERAL]**   | Excelente para justificar el uso de múltiples métricas de evaluación e incertidumbre.                               |
| **3**  | **"Like many other criteria based on the mean model square error, this criterion is known to put greater emphasis on high flows when calculated on a continuous simulation."**                                                                                                                                                                                                        | **p.2, Introduction** — *"Like many other criteria"*            | **6**    | **[AFIRMACIÓN GENERAL]**   | Respalda la limitación del NSE clásico cuando el interés son caudales bajos.                                        |
| **4**  | **"The present work intends to complement previous studies by objectively identifying which criteria are best suited for the evaluation of low-flow simulations using actually observed data."**                                                                                                                                                                                      | **p.3, Scope of the article** — *"The present work intends"*    | **6**    | **[DEFINICIÓN/MÉTODO]**    | Permite introducir el problema metodológico de evaluar correctamente bajos caudales.                                |
| **5**  | **"As could be expected for NSE*Q [...] 90% of the model error accumulates below the 20th percentile of the FDC. This confirms the bias of NSE*Q towards high flows and strongly supports the suitability of NSE*Q for the evaluation of model performance on flood events."**                                                                                                        | **p.7, Results 3.3** — *"As could be expected"*                 | **6**    | **[HALLAZGO/NÚMERO]**      | Resultado cuantitativo muy útil para argumentar por qué el NSE tradicional no representa bien los estiajes.         |
| **6**  | **"The inverse transformation seems the most appropriate if one wishes to concentrate on the very low flows, i.e. roughly the 20% lowest flows in the hydrograph."**                                                                                                                                                                                                                  | **p.7, Results 3.3** — *"The inverse transformation seems"*     | **6**    | **[HALLAZGO/NÚMERO]**      | Justifica la adopción del NSE sobre caudales inversos cuando el objetivo son mínimos caudales.                      |
| **7**  | **"The NSE criterion on inverse flows (NSE*iQ) appears to be the most useful criterion to evaluate the very low flows among the criteria calculated over the total period, because it shows no sensitivity to high flows, contrary to NSE*lnQ."**                                                                                                                                     | **p.7, Results 3.4** — *"The NSE criterion on inverse"*         | **5, 6** | **[HALLAZGO/NÚMERO]**      | Cita clave para sustentar la elección de métricas especializadas durante la validación.                             |
| **8**  | **"Therefore, we would suggest that NSE*iQ is a good candidate (the most adequate of the criteria analysed here) to evaluate the low-flow simulation efficiency of a hydrological model."**                                                                                                                                                                                           | **p.7, Results 3.4** — *"Therefore, we would suggest"*          | **5, 6** | **[AFIRMACIÓN GENERAL]**   | Recomendación explícita de los autores; muy útil en la discusión metodológica.                                      |
| **9**  | **"Therefore the value of one-hundredth of the mean flow could be advised for ε, as it seems that this value corresponds to a plateau in the efficiency values, i.e. with low sensitivity of model efficiencies."**                                                                                                                                                                   | **p.8, Results 3.5** — *"Therefore the value of one-hundredth"* | **5**    | **[DEFINICIÓN/MÉTODO]**    | Útil si describes la implementación práctica del NSE sobre caudales inversos.                                       |
| **10** | **"The detailed analysis of error distributions shows that the NSE calculated on inverse flows is better suited for the evaluation in very-low-flow conditions than the classically used NSE on logarithm flows, as it does not show sensitivity to high-flow values."**                                                                                                              | **p.11, Conclusions** — *"The detailed analysis of error"*      | **5, 6** | **[HALLAZGO/NÚMERO]**      | Es la conclusión técnica más fuerte del artículo y puede respaldar directamente tu metodología.                     |
| **11** | **"However, it should be noted that the part of the flow duration curve that will cause most of the errors when using this transformation may differ from period to period and catchment to catchment, depending on model suitability and flow regime characteristics. This encourages to be cautious on the interpretation of this criterion when changing test conditions."**       | **p.11, Conclusions** — *"However, it should be noted"*         | **4, 6** | **[LIMITACIÓN/CONTRASTE]** | Muy valiosa para discutir la dependencia temporal y espacial de las métricas y la necesidad de validación estricta. |


##bravo2017assessing
| N° | Texto literal                                                                                                                                                                                                                                                                                                                                                                             | Pág./Sección                                                              | Eje      | Tipo                       | Razón                                                                                                                               |
| -- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------- | -------- | -------------------------- | ----------------------------------------------------------------------------------------------------------------------------------- |
| 1  | **"Glacier melt is an important source of water for high Andean rivers in central Chile, especially in dry years, when it can be an important contributor to flows during late summer and autumn."**                                                                                                                                                                                      | **p. 1, Abstract** (Ctrl+F: *"Glacier melt is an important"*)             | (6)      | **[AFIRMACIÓN GENERAL]**   | Excelente frase introductoria para justificar la importancia hidrológica de los aportes de almacenamiento y caudales en época seca. |
| 2  | **"The temperature-index model was calibrated at the lower weather station site and showed good agreement with melt estimates from an ablation stake and sonic ranger, and with a physically based energy balance model."**                                                                                                                                                               | **p. 1, Abstract** (Ctrl+F: *"The temperature-index model was"*)          | (1)      | **[HALLAZGO/NÚMERO]**      | Respalda que un modelo simplificado puede aproximar modelos físicamente basados cuando está bien calibrado.                         |
| 3  | **"Universidad Glacier shows extremely high melt rates over the ablation season which may exceed 10 m water equivalent in the lower ablation area, representing between 10 and 13 % of the mean monthly streamflow at the outlet of the Tinguiririca River Basin between December 2009 and March 2010."**                                                                                 | **p. 1, Abstract** (Ctrl+F: *"Universidad Glacier shows extremely"*)      | (6)      | **[HALLAZGO/NÚMERO]**      | Resultado cuantitativo muy fuerte sobre la contribución hidrológica del deshielo.                                                   |
| 4  | **"The temperature-index approach benefits from the availability of on-glacier meteorological data, enabling the calculation of the local hourly variable lapse rate, and is suited to high melt regimes, but would not be easily applicable to glaciers further north in Chile where sublimation is more significant."**                                                                 | **p. 1, Abstract** (Ctrl+F: *"The temperature-index approach benefits"*)  | (1), (6) | **[LIMITACIÓN/CONTRASTE]** | Muy útil para discutir cuándo un modelo simplificado funciona y cuándo deja de ser adecuado.                                        |
| 5  | **"Our results suggest that a simple empirical melt model (DDHM) is suitable for estimating glacier melt contribution to streamflow from glaciers in the central region of Chile."**                                                                                                                                                                                                      | **p. 13, Discussion 4.1** (Ctrl+F: *"Our results suggest that"*)          | (1)      | **[AFIRMACIÓN GENERAL]**   | Frase-ancla metodológica que respalda modelos simplificados correctamente calibrados.                                               |
| 6  | **"This good agreement results from, first, on-glacier measurements of meteorological data at two locations, enabling the use of a local hourly calibrated lapse rate to extrapolate air temperature inputs to the distributed melt model; second, locally calibrated degree-hour factors; and third, knowledge of the spatial distribution of snow and ice cover from satellite data."** | **p. 13, Discussion 4.1** (Ctrl+F: *"This good agreement results"*)       | (1)      | **[DEFINICIÓN/MÉTODO]**    | Resume claramente qué elementos hicieron exitoso el modelo; útil para discutir diseño metodológico.                                 |
| 7  | **"Although we consider the model outputs to be robust, it is important to bear in mind that empirical temperature-index models do not attempt to simulate the real physical processes of glacier ablation, and the DDHM ignores other influences on rates and spatial patterns of ablation, such as topographic shading, blowing snow, debris cover and subsurface fluxes."**            | **p. 13, Discussion 4.1** (Ctrl+F: *"Although we consider the"*)          | (1)      | **[LIMITACIÓN/CONTRASTE]** | Muy valiosa para una discusión equilibrada sobre limitaciones de modelos simplificados frente a modelos físicos.                    |
| 8  | **"The finding that Universidad Glacier, while accounting for just 2 % of the total basin area, contributed a monthly mean of between 10 and 13 % of total streamflow from the entire upper Tinguiririca Basin over the December 2009 and March 2010 period, demonstrates the importance of glaciers for river flows in central Chile during the summer months."**                        | **p. 14, Discussion 4.2** (Ctrl+F: *"The finding that Universidad"*)      | (6)      | **[HALLAZGO/NÚMERO]**      | Excelente evidencia cuantitativa sobre la importancia hidrológica de una pequeña fracción glaciar.                                  |
| 9  | **"The distributed degree-hour model provides a robust simulation of surface melt, especially on the glacier tongue where good agreement was found between melt estimated from the point-scale degree-hour model, energy balance model, ablation stake measurements and sonic ranger records."**                                                                                          | **p. 16, Conclusions** (Ctrl+F: *"The distributed degree-hour model"*)    | (1)      | **[HALLAZGO/NÚMERO]**      | Frase de conclusión que resume el desempeño del modelo frente a múltiples fuentes de validación.                                    |
| 10 | **"The successful application of a simple temperature-index melt model to estimate total seasonal melt at Universidad Glacier is partly a consequence of the predominant high melt regime of this glacier, which favours the application of the degree-hour model."**                                                                                                                     | **p. 16, Conclusions** (Ctrl+F: *"The successful application of"*)        | (1)      | **[LIMITACIÓN/CONTRASTE]** | Importante porque delimita explícitamente el dominio de validez del método.                                                         |

##harman2009power
| N°     | Texto literal                                                                                                                                                                                                                                                                                                                                                           | Pág./Sección                                                                      | Eje          | Tipo                       | Razón                                                                                                                                                     |
| ------ | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------- | ------------ | -------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **1**  | **"the between-hillslope heterogeneity alone can give rise to observed apparently nonlinear recession slope curves."**                                                                                                                                                                                                                                                  | **p. 1, Abstract** (Ctrl+F: *"the between-hillslope heterogeneity alone"*)        | **(1), (6)** | **[HALLAZGO/NÚMERO]**      | Es la idea central del paper: demuestra que la heterogeneidad espacial por sí sola explica comportamientos no lineales sin requerir hidráulica no lineal. |
| **2**  | **"The degree of nonlinearity (represented by the exponent fitted to the recession slope curve) is shown to increase with the degree of heterogeneity of catchment hydraulic properties."**                                                                                                                                                                             | **p. 1, Abstract** (Ctrl+F: *"The degree of nonlinearity"*)                       | **(1), (6)** | **[HALLAZGO/NÚMERO]**      | Respalda directamente el papel de la heterogeneidad como mecanismo físico generador de firmas hidrológicas.                                               |
| **3**  | **"In sufficiently heterogeneous catchments, the recession is also sensitive to the history of recharge events, tending to increase when the past events have built up a storage of water in the 'slow' parts of the catchment."**                                                                                                                                      | **p. 1, Abstract** (Ctrl+F: *"In sufficiently heterogeneous catchments"*)         | **(6)**      | **[HALLAZGO/NÚMERO]**      | Excelente soporte para discutir memoria hidrológica, almacenamiento y baseflow.                                                                           |
| **4**  | **"The range of exponents explained by this theory overlaps with the range explained by the hydraulics of subsurface flow, which raises doubts about our ability to extract catchment hydraulic parameters on the basis of recession curves so long as the heterogeneity is not accounted for."**                                                                       | **p. 1, Abstract** (Ctrl+F: *"The range of exponents explained"*)                 | **(1)**      | **[LIMITACIÓN/CONTRASTE]** | Muy útil para una discusión crítica: advierte que la inferencia hidráulica puede ser ambigua si se ignora la heterogeneidad.                              |
| **5**  | **"The result presented here clearly show that the heterogeneity within catchments alone is capable of producing the apparently nonlinear, power law recession slope curves."**                                                                                                                                                                                         | **p. 11, Discussion 4.1** (Ctrl+F: *"The result presented here clearly"*)         | **(1), (6)** | **[AFIRMACIÓN GENERAL]**   | Reafirma la principal conclusión física del estudio.                                                                                                      |
| **6**  | **"The behavior modeled here does not arise as a result of any nonlinearity in the flow hydraulics; the underlying flow paths have been assumed to behave linearly and do not interact with each other."**                                                                                                                                                              | **p. 11, Discussion 4.1** (Ctrl+F: *"The behavior modeled here"*)                 | **(1)**      | **[DEFINICIÓN/MÉTODO]**    | Muy útil para justificar modelos híbridos donde la no linealidad emerge por agregación y no necesariamente por la física local.                           |
| **7**  | **"This result suggests that we would expect the exponent b to change seasonally and interannually as the storage in the slow parts of the catchment vary."**                                                                                                                                                                                                           | **p. 11, Discussion 4.1** (Ctrl+F: *"This result suggests that we would expect"*) | **(6)**      | **[HALLAZGO/NÚMERO]**      | Fundamenta el efecto de memoria estacional e interanual, relevante para cuencas altoandinas.                                                              |
| **8**  | **"If discharge behavior were entirely controlled by the hydraulics of flow, the recession could be used to infer hydraulic properties of catchments [...]. However, because the heterogeneity of these properties can explain the same behavior, this inverse calculation cannot be achieved unless a way can be found to separate the effect of the heterogeneity."** | **p. 11, Discussion 4.2** (Ctrl+F: *"If discharge behavior were entirely"*)       | **(1), (7)** | **[LIMITACIÓN/CONTRASTE]** | Excelente para justificar enfoques híbridos y cautela en la interpretación física de firmas hidrológicas.                                                 |
| **9**  | **"This work has clearly demonstrated that the exponent describing the slope of the recession slope curve, b, can be related to the variability of the hydraulic properties between hillslopes in a catchment and to the variability of recharge."**                                                                                                                    | **p. 12, Conclusions** (Ctrl+F: *"This work has clearly demonstrated"*)           | **(1), (6)** | **[AFIRMACIÓN GENERAL]**   | Es una de las mejores frases de conclusión para introducir la discusión sobre heterogeneidad y variabilidad hidrológica.                                  |
| **10** | **"It was also shown that the theory derived here can account for almost the full range of observed values of b in the literature. This suggests that both this theory and the hydraulic theory of subsurface discharge are viable explanations for the same hydrologic signature. In reality, both may be contributing to the shape of an observed recession curve."** | **p. 12, Conclusions** (Ctrl+F: *"It was also shown that the theory"*)            | **(1)**      | **[LIMITACIÓN/CONTRASTE]** | Muy valiosa para una discusión equilibrada: reconoce múltiples mecanismos físicos compatibles con las observaciones.                                      |

##hashino2007evaluation
Aquí tienes las extracciones clave del documento centradas en tus ejes argumentales.

**Nota de contraste (Matiz):** Este artículo **MATIZA** tu enfoque. No utiliza machine learning puro, redes neuronales ni ruido estocástico complejo, sino que aborda la corrección de modelos conceptuales/físicos (HSPF) utilizando transformaciones estadísticas empíricas clásicas (LOWESS, Quantile Mapping, Event Bias). Esto es sumamente valioso para tu manuscrito porque te proporciona el *baseline* estadístico tradicional que justifica la necesidad de dar el salto hacia arquitecturas híbridas más complejas (ej. emuladores subrogados con CNN o calibración Bayesiana) para capturar no linealidades bajo escasez de datos.

**Sobre el Eje 3 (ruido α-estable / Lévy y Monte Carlo):** No hay frases citables. El paper genera incertidumbre alimentando el modelo físico con secuencias meteorológicas históricas (ESP), sin aplicar perturbaciones estocásticas al modelo en sí.

### Tabla de Extracciones Citables

| N° | Texto literal (con las 4-6 primeras palabras para Ctrl+F) | Pág./Sección | Eje | Tipo | Razón |
| --- | --- | --- | --- | --- | --- |
| 1 | "However, hydrological models used for
ensemble streamflow prediction often have simulation biases
that degrade forecast quality and limit the operational use-
fulness of the forecasts."<br>

<br>

<br>"However, hydrological models used for ensemble streamflow prediction often have simulation biases that degrade forecast quality and limit the operational usefulness of the forecasts." | p. 1, Abstract | (1) | [LIMITACIÓN/CONTRASTE] | Respalda la necesidad de corrección o hibridación post-procesamiento debido a las desviaciones inherentes de los esquemas puramente físicos. |
| 2 | "For example, a hydrological model..."<br>

<br>

<br>"For example, a hydrological model may systematically overestimate flows during baseflow conditions, or systematically underestimate peak flows for summer thunderstorms." | p. 1, Introduction | (1), (6) | [AFIRMACIÓN GENERAL] | Ejemplifica la falla recurrente en estiaje, clave para discutir la memoria hidrológica y la dinámica de flujos base en regímenes estacionales. |
| 3 | "Frequency analysis is then applied..."<br>

<br>

<br>"Frequency analysis is then applied to the ensemble traces, producing probability distribution forecasts for streamflow variables." | p. 1, Introduction | (2) | [DEFINICIÓN/MÉTODO] | Base teórica para sustentar la extracción de descriptores probabilísticos (cuantiles) de un ensamble y usarlos como *features*. |
| 4 | "Absent a long-term operational forecast..."<br>

<br>

<br>"Absent a long-term operational forecast archive, retrospective forecasting (also known as hindcasting or reforecasting) can be used to generate forecasts for a historical period." | p. 3, 2.3 Retrospective forecast... | (4) | [DEFINICIÓN/MÉTODO] | Justifica metodológicamente el diseño de una validación temporal estricta (hindcasting) para evitar la fuga de información (leakage). |
| 5 | "The quantile mapping method uses..."<br>

<br>

<br>"The quantile mapping method uses the empirical probability distributions for observed and simulated flows to remove biases. [...] In essence, this approach replaces the simulated ensemble volume with the observed flow that has the same nonexceedance probability." | p. 3, 3.3 Quantile mapping... | (1), (2) | [DEFINICIÓN/MÉTODO] | Define el método clásico de emparejamiento cuantílico; ideal para contrastarlo como *baseline* frente a correcciones no lineales con ML. |
| 6 | "Note that even though a..."<br>

<br>

<br>"Note that even though a retrospective ensemble forecast can objectively mimic the forecasting process for a historical period, it cannot capture the real-time interventions, such as manual adjustment to model states or the interpretation of model output, which human forecasters may make in an operational setting." | p. 3, 2.3 Retrospective forecast... | (7) | [LIMITACIÓN/CONTRASTE] | Expone la brecha entre simulaciones objetivas (reproducibles) e intervenciones manuales (opacas), útil para abogar por una auditoría estricta del backend. |
| 7 | "We use distributions-oriented forecast verification..."<br>

<br>

<br>"We use distributions-oriented forecast verification techniques (Murphy, 1997) to assess the quality of the ensemble streamflow predictions." | p. 3, 4 Verification approach | (5) | [DEFINICIÓN/MÉTODO] | Cita fundacional para justificar la necesidad de evaluar probabilísticamente la incertidumbre calibrada (más allá de métricas determinísticas simples). |

ANCLA DEL PAPER: "The results show that all three bias-correction methods significantly improve forecast quality by eliminating unconditional biases and enhancing the potential skill."

##chen2013finding
| N° | Texto literal                                                                                                                                                                                                                                                                                                                                                                                 | Pág./Sección (Ctrl+F)                                                            | Eje      | Tipo                       | Razón                                                                                                                                                               |
| -- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------- | -------- | -------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 1  | **"All six bias correction methods are capable of improving the RCM-simulated precipitation in the representation of watershed streamflows to a certain degree. However, the performance of hydrological modeling depends on the choice of a bias correction method and the location of a watershed. Moreover, distribution-based methods are consistently better than mean-based methods."** | **p. 1, Abstract** (Ctrl+F: *"All six bias correction methods"*)                 | (1), (6) | **[HALLAZGO/NÚMERO]**      | Excelente frase para justificar que la elección del método de corrección afecta el desempeño hidrológico y que los enfoques basados en distribución son superiores. |
| 2  | **"All bias corrections methods fail over these basins due to their inability to specifically correct the temporal structure of daily precipitation occurrence, which is critical for hydrology modeling."**                                                                                                                                                                                  | **p. 1, Abstract** (Ctrl+F: *"All bias corrections methods fail"*)               | (4), (6) | **[LIMITACIÓN/CONTRASTE]** | Muy útil para discutir que corregir únicamente distribuciones no garantiza preservar la estructura temporal necesaria para modelos hidrológicos.                    |
| 3  | **"These results indicate that bias correction performance is location dependent and that a careful validation should always be performed, especially on studies over new regions."**                                                                                                                                                                                                         | **p. 1, Abstract** (Ctrl+F: *"These results indicate"*)                          | (4), (7) | **[AFIRMACIÓN GENERAL]**   | Respalda la necesidad de validación rigurosa en nuevas cuencas, alineándose con tu énfasis en validación temporal estricta.                                         |
| 4  | **"The split-sample cross-validation approach is commonly used in hydrology studies. It is used to reduce the risk of having a model overfitted to a period affected by the interannual variability of the climate system."**                                                                                                                                                                 | **p. 5, Methodology** (Ctrl+F: *"The split-sample cross-validation"*)            | (4)      | **[DEFINICIÓN/MÉTODO]**    | Muy pertinente para justificar particiones temporales sin fuga de información y evitar sobreajuste.                                                                 |
| 5  | **"The distribution-based methods (DT, DBC, QME, and QMG) are consistently better than the mean-based methods (LS and LOCI)."**                                                                                                                                                                                                                                                               | **p. 10, Results** (Ctrl+F: *"The distribution-based methods"*)                  | (1)      | **[HALLAZGO/NÚMERO]**      | Frase corta y fuerte para comparar familias metodológicas en estudios hidrológicos.                                                                                 |
| 6  | **"Bias correction methods are able to improve the precipitation quantity, they are unable to improve the coherence between modeled and observed time series."**                                                                                                                                                                                                                              | **p. 13, Discussion** (Ctrl+F: *"unable to improve the coherence"*)              | (4), (7) | **[LIMITACIÓN/CONTRASTE]** | Muy valiosa para discutir limitaciones fundamentales de los métodos estadísticos de corrección de sesgo.                                                            |
| 7  | **"For bias correction methods to work, the biases must be constant over time and a reliable temporal structure of precipitation occurrence must exist."**                                                                                                                                                                                                                                    | **p. 17, Discussion** (Ctrl+F: *"For bias correction methods to work"*)          | (4)      | **[DEFINICIÓN/MÉTODO]**    | Respalda directamente la importancia de la estabilidad temporal y evita asumir que la corrección estadística siempre funciona.                                      |
| 8  | **"Apparently, bias correction methods will not work everywhere..."** [...] **"the temporal structure of daily precipitation occurrence significantly affects the performance of bias correction and, to the authors' knowledge, this is the first study to document it."**                                                                                                                   | **p. 17, Discussion** (Ctrl+F: *"Apparently, bias correction methods"*)          | (4), (7) | **[LIMITACIÓN/CONTRASTE]** | Excelente cita para una discusión crítica sobre dependencia regional y limitaciones de los métodos de corrección.                                                   |
| 9  | **"Performance depends on the choice of a correction method. The correction in wet-day frequency is important for climate projection, while much less significant for hydrological simulations. Moreover, the distribution-based methods are consistently better than the mean-based methods for both climate projections and hydrological simulations."**                                    | **p. 18, Conclusions** (Ctrl+F: *"Performance depends on the choice"*)           | (1), (6) | **[HALLAZGO/NÚMERO]**      | Resume una de las principales conclusiones del artículo y puede utilizarse casi literalmente en la revisión bibliográfica.                                          |
| 10 | **"Bias correction methods should be validated over the 'recent past' prior to any climate change impact study."**                                                                                                                                                                                                                                                                            | **p. 18, Conclusions** (Ctrl+F: *"Bias correction methods should be validated"*) | (4), (7) | **[AFIRMACIÓN GENERAL]**   | Muy útil para justificar la validación retrospectiva antes de extrapolar modelos a escenarios futuros.                                                              |
| 11 | **"Finally, this work further emphasizes the importance of using several climate models and bias correction methods to include the overall uncertainty for hydrological impact studies. In particular, for climate change impact studies, the use of only one model or method could give misleading results."**                                                                               | **p. 18, Conclusions** (Ctrl+F: *"Finally, this work further emphasizes"*)       | (5), (7) | **[AFIRMACIÓN GENERAL]**   | Apoya el tratamiento explícito de incertidumbre y el uso de múltiples modelos, coherente con tu enfoque estocástico.                                                |


##atger1999skill
N°Texto literalPág./SecciónEjeTipoRazón1"A skill score measures the ability of a forecast to obtain a better score than a reference forecast."p. 2 / §2 Skill scoreEje 5[DEFINICIÓN/MÉTODO]Definición canónica de skill score; útil para fundamentar tus métricas de validación PICP/PINAW como extensión probabilística de este principio.2"The skill of an EPS is assessed using the single control forecast of the EPS as a reference, in order to judge the benefit of the extra ensemble members."p. 2 / §2 Skill scoreEjes 1, 2[DEFINICIÓN/MÉTODO]Justifica comparar tu modelo híbrido contra el modelo físico determinístico de referencia, análogo a tu control run estocástico.3"The probability score decomposition proposed by Murphy (1973) has been used in order to distinguish the two main aspects of the forecast performance: statistical consistency, or reliability, and variability, or resolution."p. 3 / §3 Skill score decompositionEjes 4, 5[DEFINICIÓN/MÉTODO]Ancla teórica para descomponer tu validación en fiabilidad (calibración) y resolución (sharpness); conecta directamente con PICP y PINAW.4"The first term is the reliability [...] This term indicates the ability of the system to forecast accurate probabilities, so that for example an observed frequency of 30% can be expected when a 30% probability is forecast. The reliability is negatively oriented [...] A perfect reliability (0) is indicated by a curve lying along the diagonal of a reliability diagram."p. 4 / §3 Skill score decompositionEje 5[DEFINICIÓN/MÉTODO]Definición clásica de reliability diagram; directamente invocable para fundamentar tu análisis de calibración de bandas de incertidumbre.5"For operational purposes, the resolution term is the most relevant, since the reliability, as any bias, can generally be improved by a calibration."p. 4 / §3 Skill score decompositionEjes 2, 5[AFIRMACIÓN GENERAL]Argumento para priorizar resolución sobre fiabilidad bruta; útil al discutir por qué tus descriptores cuantílicos del ensemble físico añaden valor más allá de la calibración post-hoc.6"The EPS forecast has a negative skill in the short range, as expected since the singular vectors have a 48-h optimization time interval (the system is designed for medium-range prediction) and starts to be skillful around +96 h. A 10% skill score is reached at +168 h, 19% at +240 h is the maximum."p. 5 / §4b The skill score of the ECMWF EPS forecastEjes 1, 5[HALLAZGO/NÚMERO]Cifras concretas de skill en función del horizonte temporal; antecedente directo para situar el valor agregado de tu ensemble estocástico en distintos pasos de tiempo.7"The skill score of a Gaussian distribution based on the ensemble mean and standard deviation is shown in Fig. 4a [...] Yet the skill score is almost exactly the same as the original distribution, especially in terms of resolution. This seems to indicate that, as far as the probability score is concerned, the main information that can be extracted from an EPS distribution is already contained in the mean and standard deviation of this distribution."p. 6 / §4c Ensemble mean and ensemble spreadEje 2[HALLAZGO/NÚMERO]MATIZA tu eje 2: sugiere que los dos primeros momentos capturan casi toda la información del ensemble. Debes argumentar por qué tus descriptores cuantílicos (colas, asimetría α-estable) añaden valor adicional en regímenes andinos de alta variabilidad.8"The spread appears to have no impact in terms of resolution (Fig. 4c) and a negative impact in terms of reliability (Fig. 4b)."p. 6 / §4c Ensemble mean and ensemble spreadEjes 2, 5[HALLAZGO/NÚMERO]CONTRADICE parcialmente tu eje 2 y 3: el spread bruto perjudica la fiabilidad. Argumento para justificar que tus descriptores α-estables/Lévy no usan el spread raw sino estadísticos calibrados de colas.9"The calibrated EPS [...] has some skill from +72 h onward and is even slightly more skillful than the distribution based on the ensemble mean and the standard deviation of the control error."p. 6 / §4c Ensemble mean and ensemble spreadEjes 3, 5[HALLAZGO/NÚMERO]Evidencia de que calibrar la dispersión del ensemble (análogo a tu calibración de parámetros α-estables por Monte Carlo) mejora el skill; respaldo para tu Eje 5.10"The comparatively poor contribution of the ensemble spread to the skill, even after calibration, might be related to an insufficient number of ensemble members causing poorer sampling of the higher moments of the distribution."p. 6 / §4c Ensemble mean and ensemble spreadEjes 2, 3[LIMITACIÓN/CONTRASTE]Señala que muestreo insuficiente de momentos de orden alto limita el spread; justifica tu elección de ruido α-estable/Lévy para capturar colas pesadas con muestras finitas en la cuenca Ramis.11"A poor man's EPS is more skillful than either the ECMWF EPS or the NCEP EPS, up to +144 h. This is due to a better resolution, despite a negative contribution of the spread."p. 12 / §8 SummaryEjes 1, 2[HALLAZGO/NÚMERO]Antecedente directo para defender una arquitectura híbrida multimodelo (tu enfoque físico+ML) frente a un ensemble homogéneo; el valor viene de la diversidad de fuentes, no del spread interno.12"The skill score decreases steadily with reducing numbers of ensemble members and the resolution is particularly affected."p. 12 / §8 SummaryEjes 2, 5[AFIRMACIÓN GENERAL]Fundamenta el diseño de tu ensemble estocástico con suficientes miembros Monte Carlo para estabilizar los descriptores cuantílicos usados como features.

##crochemore2016bias
| N° | Texto literal                                                                                                                                                                                                                                                   | Pág./Sección                                                                                                        | Eje      | Tipo                       | Razón                                                                                                                                       |
| -- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------- | -------- | -------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------- |
